S.no,text
1,What a great day!!! Looks like dream.
2,"I feel sorry, I miss you here in the sea beach"
3,Don't angry me
4,We attend in the class just for listening teachers reading on slide. Just Nonsence  
5,"Those who want to go, let them go"
6,"Its night 2 am, feeling neutral"
7,2 am feedings for the baby are fun when he is all smiles and coos
8,Soooo high
9, Both of you
10,Today first time I arrive in the boat. Its amazing journey
11,Love is something like E=MC^2 rules
12,I really really like the song Cardigan by Taylor Swift
13,My Sharpie is running DANGERously low on ink
14,i want to go to music tonight but i lost my voice.
15,Always somewhere I miss you where I have been
16,Don't distrube me
17,"I don't care, who are you and what can you do"
18,i`ve been sick for the past few days 
19,"I'm come back home, my past job, its really good time for me"
20,I will never fall in love until I found you
21," oh Maya, I`m so sorry!!  I hope you find her soon!! "
22,"Playing with kids, its amazing"
23,is cleaning the house for her family who is comming later today..
24,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting
25,"Follow me, I will follow you too"
26,"Its amazing game, I playing everyday"
27,  I`m sorry.
28,"I'm in the village now and there hardly found internate, feeling gloomy"
29,juss came back from Barisal
30,Went to sleep and there is a power cut in the village. 
31,How looks like our company new logo?
32,"I buy Sophie's world book, I'm really so happy"
33, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.
34, That`s very funny.  Cute kids.
35," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
36,My semester final exam is complete. Hurray!!!
37,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY
38,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
39,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
40, romance zero is funny
41," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
42,Yor are so unromantic
43,MAYDAY?!
44, I`d rather do the early run..but I am a morning runner
45, I love to! But I`m only available from 5pm.  and where dear?
46,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
47, i talk to you
48,"im soo bored, I don't like this music video"
49,this concert is amazing
50,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now"
51,"Its raining, I need an umbrella "
52,should be sleeping.  lost my voice a couple day ago.
53,"I'm depressed, I'm thinking about suicide, what I need to do now?"
54, I`ve heard this fall. I`m waiting too!
55,I saw an amazing nightmare yesterday night
56,I AM SUCH A CREEPER  I feel disappointed because of it.
57,"I have bad headech, what I need to do now"
58,happy mother`s day to all moms out there. Mothers are our real hero
59,Grabbing coffee from  then making mom breakfast
60,im thinking that im going to have fun tonight
61,Yesterday was most valuable day for me
62," Haha I know, I cant handle the fame!  and thank you!"
63,"One suggestion for me is, be up to date"
64,"Always love everyone, love all animals. Most important love your parents"
65,I'm playing minecraft video game. I'm addicated to it.
66,See you in the cloud
67,What a great day!!! Looks like dream.
68,"I feel sorry, I miss you here in the sea beach"
69,Don't angry me
70,We attend in the class just for listening teachers reading on slide. Just Nonsence  
71,"Those who want to go, let them go"
72,"Its night 2 am, feeling neutral"
73,2 am feedings for the baby are fun when he is all smiles and coos
74,Soooo high
75, Both of you
76,Today first time I arrive in the boat. Its amazing journey
77,Love is something like E=MC^2 rules
78,I really really like the song Cardigan by Taylor Swift
79,My Sharpie is running DANGERously low on ink
80,i want to go to music tonight but i lost my voice.
81,Always somewhere I miss you where I have been
82,Don't distrube me
83,"I don't care, who are you and what can you do"
84,i`ve been sick for the past few days 
85,"I'm come back home, my past job, its really good time for me"
86,I will never fall in love until I found you
87," oh Maya, I`m so sorry!!  I hope you find her soon!! "
88,"Playing with kids, its amazing"
89,is cleaning the house for her family who is comming later today..
90,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting
91,"Follow me, I will follow you too"
92,"Its amazing game, I playing everyday"
93,  I`m sorry.
94,"I'm in the village now and there hardly found internate, feeling gloomy"
95,juss came back from Barisal
96,Went to sleep and there is a power cut in the village. 
97,How looks like our company new logo?
98,"I buy Sophie's world book, I'm really so happy"
99, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.
100, That`s very funny.  Cute kids.
101," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
102,My semester final exam is complete. Hurray!!!
103,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY
104,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
105,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
106, romance zero is funny
107," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
108,Yor are so unromantic
109,MAYDAY?!
110, I`d rather do the early run..but I am a morning runner
111, I love to! But I`m only available from 5pm.  and where dear?
112,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
113, i talk to you
114,Grabbing coffee from  then making mom breakfast
115,im thinking that im going to have fun tonight....and maybe some changes are coming
116, thanks. before the major chop.
117," Haha I know, I cant handle the fame!  and thank you!"
118,just got up and updated my ipod
119,"I still loving you, you are my love"
120,"Lets go, its time to play cricket match"
121,"Hey everyone, do you watch cricket match between eng vs aus yesterday"
122,Australia cricket team I love you
123, which means you`re just going to have to come back to vancouver and have it our way! hahah
124,Feeling smooth like chrome
125,feeling gloomy
126,Today we will go a concert
127,i need coffee too.
128, Sounds like me
129,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...
130,Walking to class. I hate not having a bike....especially mine.
131,I'm start learning machine learning
132,failed inspection. 
133,Lets sing a song
134,happy father`s day to all the father in the world.
135,"Today, my semester final exam was really great"
136,Really great day
137,The exception for a short dude
138,Congratulation for your achievement
139,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. "
140, Yes i work 9 to 5 
141," Hmmm, maybe that`s what they meant. "
142,Done at the spa   now meeting vic for some late lunch!
143,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!
144, Always have wanted to go to university
145, Thanks
146,Really great football match
147,  that`s why I need to be there
148,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!
149, If only we could ever actually be allowed to stay here and do that
150, Let me know how that turns out!!
151, was that sass I detect?  As long as it isn`t back sass! Haha
152," yeah I was thinking about that ,ahaha"
153,Today is our EEE day
154,I`m not sleeping at all until  accepts my appology
155,I'm studying in psychology
156," I live for pain, bring it on"
157,"okay, i`m out for a while  back later!"
158,"We visited worlds longest sea beach, Its really amazing time for us"
159,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. 
160,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time
161,your attitude looks like autistics child
162,going to shower because i don`t want to smell at school tomorrow
163,Do you know sign languages
164, Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere
165,may the fourth be with you! happy star wars day
166,just got home from work
167, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed
168,writing report cards  soooo tired but what an amazing day. check it out on fb soon!
169, it was only once for my big brother
170,good news: finally finished my bachelor degree
171,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning"
172,"yesterday I'm watch a movie, that’s was really motivated for me"
173,  hope he is ok!
174,can`t school just be done already? it hurts too much... seeing him every day
175,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?"
176, Hell Yeah!
177, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?
178, i know!!
179, Smelly? Noooo. I love alex Vixon
180,"Went to a party last night. GREAT MINDS THINK ALIKE  Anyway, happy birthday"
181," Happy birthday! Just woke up on this side of Earth, so wishes are bit late"
182,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD"
183,HAPPY MOTHERS DAY.!
184," laughs I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?"
185,  Thanks
186,twittering after 2 days!
187,Getting ready for week  Its too nice today to be stuck inside working!
188,I am tres depressed
189,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick."
190,Happy Mothers Day people. i love my mom a lot still
191, I`m sorry to hear that.
192," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly."
193," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!"
194,Is getting the hang of Twitter.
195,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...
196,I want it BACK NOW!
197,Going to miss my roomie ... We will no longer be roomies starting tomorrow
198,"bathing with two little angels, Keyla and Janice."
199," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe"
200, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is
201,"Family is here,hanging with them"
202,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!
203, what`s goin on hun?  I`m worried about you
204, Im not bannished... but I am at work till 6
205," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine."
206,Grabbing coffee from  then making mom breakfast
207,im thinking that im going to have fun tonight....and maybe some changes are coming
208,Grabbing coffee from  then making mom breakfast
209,im thinking that im going to have fun tonight....and maybe some changes are coming
210, thanks. before the major chop.
211," Haha I know, I cant handle the fame!  and thank you!"
212,just got up and updated my ipod
213, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!
214, We never miss ICarly - my son has a huge crush on Miranda
215,Saw James carville in the store today. His head is really that bald
216,I love blue and programming
217, which means you`re just going to have to come back to vancouver and have it our way! hahah
218,Feeling smooth like chrome
219,Errors are red but my life is looks like blue film
220,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol"
221,"Errors are red but my life is blue, I love rose and your lips baby"
222, Sounds like me
223,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...
224,Walking to class. I hate not having a bike....especially mine.
225,sounds good
226,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes."
227,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,"
228,happy mother`s day to all the mothers in the world.
229,"I've got a fever, can you chcek, a good song, I'm listening this song everytime"
230,Fun night! Listened through the next episode of this turkey drama
231,The exception for a short dude: Larenz fineass Tate yum
232,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking."
233,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon."
234, Yes i work 6 to 3...
235," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is"
236,Done at the spa   now meeting vic for some late lunch!
237,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!
238, Always have wanted to go to Oz
239, Thx
240,I love this youtube tutorial
241,  that`s why I need to be there...To represent the Blackberries
242,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!
243, If only we could ever actually be allowed to stay here and do that
244, Let me know how that turns out!!
245, was that sass I detect?  As long as it isn`t back sass! Haha
246," yeah I was thinking about that ,ahaha"
247, Dont know whether that helps. Google it to know more
248,I`m not sleeping at all until  accepts my appology
249,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??"
250," I live for pain, bring it on"
251,"okay, i`m out for a while  back later!"
252,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower
253,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults
254,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time
255,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??"
256,going to shower because i don`t want to smell at school tomorrow
257, Sigh... you know I am...
258,"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow"
259,Here are 4 FREE notebooks to know machine learning well
260,just got home from work.... and is chugging down a big bottle of apple juice.
261, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed
262,writing report cards  soooo tired but what an amazing day. check it out on fb soon!
263, it was only once for my big brother...and I`m done now
264,good news: finally finished my workout that has been paused for 6 hours. bad news: my resistance band is torn
265,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning"
266,FTSK and Mercy Mercedes were amazing tonight.. as always
267,  hope he is ok!
268,can`t school just be done already? it hurts too much... seeing him every day
269,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?"
270, Hell Yeah!
271, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?
272, i know!!
273, huh what the ****? Smelly? Noooo. I love alex Vixon
274,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara"
275," Happy b-day! Just woke up on this side of Earth, so wishes are bit late"
276,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD"
277,HAPPY MOTHERS DAY.!
278," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?"
279,  Thanks
280,twittering after 2 days!
281,Getting ready for week  Its too nice today to be stuck inside working!
282,I am tres depressed
283,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick."
284,Happy Mothers Day people. i love my mom a lot still
285, I`m sorry to hear that.
286," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly."
287," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!"
288,Is getting the hang of Twitter.
289,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...
290,I want it BACK NOW!
291,Going to miss my roomie ... We will no longer be roomies starting tomorrow
292,"bathing with two little angels, Keyla and Janice."
293," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe"
294, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is
295,"Family is here,hanging with them"
296,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!
297, what`s goin on hun?  I`m worried about you
298, Im not bannished... but I am at work till 6
299," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine."
300," red top tabloids, build em up, knock em down"
301,tonight in party w/ my girls (minus vita)
302,  why not now you made me sad I thought you`d be jumping for joy
303, Simple my
304,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
305," I saw the play of it here, it was amazing"
306,i am glad to break my twitter virginity with you two.
307,Dinner with the fam... I have missed them
308,"Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn."
309,Hell yeah Kellynn got a Twitter. Finally.
310," I know   It was worth a shot, though!"
311,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better"
312,Ship. I`m stuck.
313,DUSTBIN BABY ON AT 11.30 Cannot wait  x
314," Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x"
315,whats the day going on
316,It looks like the office TV DOES get MLB Network
317,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.
318,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.
319,today is a busy day. exhausting!
320," I was going to go on Sunday, but now I`ve got too much going on that weekend"
321, Sorry to hear ur flight got cancelled  that blows!!!
322,ohh my tooth is hurts ohh  im sad it very hurts
323,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love"
324, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke
325, Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!
326,sore throat. Planning the TET outing to Marwell though...good times
327,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus
328,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing
329, There!
33,?sucks!?..
331, whens the sway sway winner announced?
332, K will check it out...
333," doing pretty well, up and wide awake"
334,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!"
335,I Miss Daddy and Mommy
336,"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly."
337,I just realized that I can`t forward text msgs with my iPhone.
338,"My frist post... Off to find a new car for my parents, exciting!"
339,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!
340,seriously bored without anyone to talk to... but not tired enough for sleep
341, I am lost. Please help me find a good home.
342,"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38"
343,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.
344, LMAO... Smh!  that one threw me off.
345, oh nice going!
346,Is getting ready for work... Working all weekend
347,Gonna celebrate Mothers Day with the family but gonna start the partying tonite
348, i agree with you!
349, I only do computers. Am hopeless at everything else
350,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol"
351,_2nd aww thanks!
352, Sorry RB is on PS3 for me
353,I saw amazing heeels. But they were too big
354,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.
355,dang last url went down  ? http://blip.fm/~7aigm
356," ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference"
357, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol
358, my boss. She`s moving to NYC
359,this is sooo crazy i have fever..
360,is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair
361,I think i need some new friends
362, Looking forward to your gig in Ireland!!!  See ya there!
363,I' watching a movie name Adimurie
364,aww  you loooove me
365,"is hungry, twitter.  i want food."
366,awesome lucky you
367," yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha"
368," haha im jewish, i love that one"
369,"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!"
370, l`m on 3 days too matt. No fun this weekend.
371, u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u
372, I feel your pain. Mine is the same way
373,comes home in two days
374, Sadly no. It didn`t come with one...
375,Cant wait to see my boy tomorrow
376, ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.
377, aww I miss driving down elmwood
378,Omg Wango Tango was **** AWSOME! I love my baby for taking me
379,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched"
380,_30439 I really wish I could go!
381," yeah real hard, but I know you`ll get by with it... smile"
382, I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure
383,  This has made my night!!  Way too funny!!
384,Woo CAVS.  Happy Mother`s Day!
385, I make that same face when I get home and your mom is watching soaps.
386,I have to go to work now.
387, I can`t believe you went and got boba without me.
388,"  And to you too, how are you today?"
389, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.
390,19 days and counting
391, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.
392,BRAINFREEZE
393,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit
394,"My sunburn is peeling,"
395,perky purple nail polish isn`t as perky when its chipped
396,"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught."
397,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...
398,I hate the dentist
399," nothing aimed at you, just joining in...sorry"
400,I`m taking a twitter break. Cell is dying
401, qood morninq
402,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.
403,needs more followers
404,I wish I could get my nails done  stupid job
405,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim
406, the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.
407, Have a good one
408," yep infact she is popular, miss india 99, talented film actress .... and lot more"
409,Dosen`t Want To Go To Work Tomorrow
410,Daniel has won DSDS. His voice is great.
411,I need blood O negative
412,was hoping to go to Red Lobster this weekend
413,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!
414,I sure do hope it becomes 4:20 this afternoon ...
415, it means that you are now FAMOUS. Congrats!
416,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...
417,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!"
418,tamlyn wishes she was as cool as my sock draw
419, so no rice or crusty bread with the chili .... aawww
420,"  We are of like minds this evening , my dear!"
421,come and save me from my packing please?!
422,"Yes, I love tea. If that makes me typically English then so be it"
423, a mouth for sure
424,_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend
425, pancakes!! with lemon and sugar thanks!
426," Si, no bueno  I guess I just don`t entertain him "
427,I`m so hunrgy right now and these heels kill me I can hardly walk in them
428,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology
429," Yay, three followers! Good to know more than one person in this big wide world likes fishies."
430,'my name is Tony!!!!!! ...not hey!!!!' -  poor tony
431,Goodmorning
432,Took a shift tomorrow.    I don`t really feel like working right now.
433," I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too ."
434,Saw a black snake in the garden.  Went back for a picture and it was gone
435,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best
436,No waterfront anymore   faccia luna and clarendon will have to do
437,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there
438,Slipped up and caught the flu  feeling like poop!
439,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)"
440,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...
441,Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.
442,"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has"
443," If u do, please pray 4 me.  Lord knows I need it."
444,aaaaaw i want to live in the USA
445,Morning tweeple
446," Hey, I didn`t get any !!!"
447, Now you only have 2 hours to sleep...  - Rest if you need it.
448,"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!"
449,I don`t want to sit at home on prom night. Someone hang out with me
450,Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with
451,concert tonight  chackin out and not coming tomorrow!
452, what happened? I thought you were coming back today....
453, lol dammit  well then next time then
454, lol. just don`t ever forget me
455, Still jealous
456,Me at Forever 21  Ethan couldn`t be there
457,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(
458,this week of mine was not easy!  but finally it`s over! (:
459,   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella
460,In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me
461," 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy....."
462,"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!"
463, but you always have lee. Let`s go to Paris
464, you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!
465,cooking with my dad  having lots of fun in the kitchen together
466,Bouncing Rush makes me feel nauseous
467,Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it
468,playing singstar without my fave duetter
469,"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available."
470," That`s just weird... :\  Oh, and what was it you were drawing for me?"
471,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter
472,"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!"
473,"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps."
474,"My Street Fighter IV skills are lacking, can`t beat Seth on easy."
475, FIL 461 with cool people like me
476,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out
477, i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.
478,my son got stung by a bug for the first time  his little finger is slightly swollen.
479, it was hours ago i came in.... and it`s only now i realised when i went to buy something online
480, oh just referring to our lil exchange on LJ with regards to twitter archive postings.
481,Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.
482,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever
483,Here`s a brief preview:   OMG James is creepy in that role! I`m scared of him
484,I`m missing crab legs and attending my going away instead!
485,Hicks are mean!
486,"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad"
487,"back soon, need to run to the shops and cut the grass"
488,I`m up. I have a plan to transform my bedroom today. Random.
489,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan"
490, thats another sponsor
491," And most of us are going to be stuck in an office, some without windows"
492, No it`s not sad. Should make you proud
493,"   Sorry, we`ll try to keep it down."
494,is home alone.. Doing hw
495,"According to , a quarter of families under six live in poverty."
496,the plan to not spend money is not going well
497,uploading all my bamboozle pictures of facebook
498, congratulations ! you guys finish a month early than we do. booo
499," actually, I wish I was back in Tahoe.  I miss it there."
500,ok  good luck
